valid_time,temperatura_2m,velocidad_viento,precipitacion,presion_superficial
2024-11-23 00:00:00,8.087606,1.4019927,0.7745131,940.05756
2024-11-23 12:00:00,13.28266,2.5068898,0.67156225,941.257
2024-11-24 00:00:00,10.304611,1.7917718,0.82099414,941.48303
2024-11-24 12:00:00,15.087537,3.094331,0.100986436,940.0595
2024-11-25 00:00:00,10.237118,2.1881359,0.12045009,937.67
2024-11-25 12:00:00,17.961744,4.060119,0.054168142,935.0102
2024-11-26 00:00:00,9.8764715,2.5339208,0.5731567,938.0696
2024-11-26 12:00:00,13.12567,1.0930722,0.0006648201,939.87756
2024-11-27 00:00:00,8.488342,1.163358,0.0054598153,939.90485
2024-11-27 12:00:00,14.020532,0.78865975,0.01992457,940.6878
2024-11-28 00:00:00,6.7625966,1.4131254,0.025929984,942.7368
2024-11-28 12:00:00,14.64559,0.96232975,0.010353198,942.8851
2024-11-29 00:00:00,5.922189,1.9205666,0.011222544,943.00104
2024-11-29 12:00:00,18.588718,1.9840862,0.0013064069,942.70245
2024-11-30 00:00:00,8.833226,2.117232,0.0013384923,944.12036
2024-11-30 12:00:00,17.126255,1.1504557,5.9408252e-05,944.62634
